phoneme,w,h0,h1,h2
a,[82.   6.5],[ 0.  53.5],[ 2.  52.5],[ 1.5 54. ]
e,[95.   2.5],[ 1.  46.5],[ 1.5 46.5],[ 1.5 47. ]
o,[87.5  5. ],[ 0.5 37.5],[ 2.5 38. ],[ 0.  38.5]
a_,[86.   7.5],[ 0.5 58. ],[ 3.  56.5],[ 0.5 58.5]
i_,[99.   5.5],[ 0.5 45.5],[ 1.5 44.5],[ 1.  46.5]
e_,[100.   2.],[ 1. 48.],[ 1.  47.5],[ 1.5 49.5]
ae_,[96.   4.5],[ 0. 71.],[ 1.5 69.5],[ 1.5 70.5]
o_,[79.   0.5],[ 0. 37.],[ 0.5 36.5],[ 1. 37.]
ae,[95.5  3.5],[ 0. 71.],[ 2.5 69. ],[ 1.5 70. ]
u_,[85.   6.5],[ 2.  31.5],[ 3.5 32. ],[ 2. 32.]
u,[89.5  5. ],[ 1. 32.],[ 3. 32.],[ 1.  32.5]
i,[96.5  4. ],[ 0.5 43.5],[ 1.5 43. ],[ 1.5 44.5]
