phoneme,w,h0,h1,h2,,,,,Constant Letter
"ග, ඝ",85.248167135722,31.5634282041733,32.1908372056397,32.0624390837628,,,,,"ග, ඝ"
ඞ (◌ං),96.5828659752857,43.5028734683124,43.0261548363318,44.5252737217864,,,,,ඞ (◌ං)
ඟ,100.0199980004,48.0104155366312,47.5105251496971,49.5227220576575,,,,,ඟ
"ච, ඡ",89.784535722,31.5634282041733,32.1908372056397,32.0624390837628,,,,,"ච, ඡ"
"ජ, ඣ",91.566734857,43.5028734683124,43.0261548363318,44.5252737217864,,,,,"ජ, ඣ"
ඤ,88.4767135722,31.5634282041733,32.1908372056397,32.0624390837628,,,,,ඤ
ඥ,90.73423857,43.5028734683124,43.0261548363318,44.5252737217864,,,,,ඥ
ඦ,100.5,48.0104155366312,47.5105251496971,49.5227220576575,,,,,ඦ
"ට, ඨ ",95.564114603757,73.64674545,69.0452750012628,70.0160695840605,,,,,"ට, ඨ "
"ඩ, ඪ ",99.1526600752597,45.45334,44.5252737217864,46.5107514452304,,,,,"ඩ, ඪ "
ඬ,87.6427407147905,37.5033331851983,38.0821480486592,37.452323,,,,,ඬ
"ත, ථ",79.0015822626357,37,36.503424496888,37.0135110466435,,,,,"ත, ථ"
"ද, ධ",101.63470004,48.0104155366312,47.5105251496971,49.5227220576575,,,,,"ද, ධ"
"න, ණ",95.564114603757,69.34423243,69.0452750012628,70.0160695840605,,,,,"න, ණ"
ඳ,99.1526600752597,45.5027471698138,44.5252737217864,46.5107514452304,,,,,ඳ
"ප, ඵ",95.564114603757,71,69.0452750012628,70.0160695840605,,,,,"ප, ඵ"
"බ, භ",98.3423752597,45.5027471698138,44.5252737217864,46.5107514452304,,,,,"බ, භ"
ම,87.6427407147905,37.5033331851983,38.0821480486592,41.5,,,,,ම
ඹ,95.564114603757,77.476342345,69.0452750012628,70.0160695840605,,,,,ඹ
ය,99.1526600752597,45.5027471698138,44.5252737217864,46.5107514452304,,,,,ය
ර,87.6427407147905,37.5033331851983,38.0821480486592,38.5,,,,,ර
"ල, ළ",86.3264154242489,58.0021551323742,56.5795899596312,58.502136713115,,,,,"ල, ළ"
ව,85.248167135722,31.5634282041733,32.1908372056397,32.0624390837628,,,,,ව
"ශ, ෂ",96.5828659752857,43.5028734683124,43.0261548363318,44.5252737217864,,,,,"ශ, ෂ"
ස,100.0199980004,48.0104155366312,47.5105251496971,49.5227220576575,,,,,ස
"හ, (◌ඃ)",85.248167135722,31.5634282041733,32.1908372056397,32.0624390837628,,,,,"හ, (◌ඃ)"
ෆ,96.5828659752857,43.5028734683124,43.0261548363318,44.5252737217864,,,,,ෆ
"ග, ඝ",100.0199980004,48.0104155366312,47.5105251496971,49.5227220576575,,,,,
ඞ (◌ං),85.248167135722,31.5634282041733,32.1908372056397,32.0624390837628,,,,,
ඟ,96.5828659752857,43.5028734683124,43.0261548363318,44.5252737217864,,,,,
"ච, ඡ",100.0199980004,48.0104155366312,47.5105251496971,49.5227220576575,,,,,
"ජ, ඣ",86.3264154242489,58.0021551323742,56.5795899596312,58.502136713115,,,,,
ඤ,96.1054108778481,75.486743443,69.5161851657583,70.515955641259,,,,,
ඥ,96.5828659752857,43.5028734683124,43.0261548363318,44.5252737217864,,,,,
ඦ,100.0199980004,48.0104155366312,47.5105251496971,49.5227220576575,,,,,
"ට, ඨ ",95.0328890437411,46.5107514452304,46.5241872578125,47.0239300782059,,,,,
"ඩ, ඪ ",95.0328890437411,46.5107514452304,46.5241872578125,47.0239300782059,,,,,
ඬ,89.6395560006853,32.0156211871642,32.1403173599764,32.5153809757782,,,,,
"ත, ථ",100.0199980004,48.0104155366312,47.5105251496971,49.5227220576575,,,,,
"ද, ධ",95.564114603757,70.34532332,69.0452750012628,70.0160695840605,,,,,
