phoneme,w,h0,h1,h2
dha,128.01562404644207,46.02445002387318,47.00265949922408,48.06506007486103
ya,129.5038609463054,44.01136216933077,44.01136216933077,45.510987684294435
ha,126.00396819148197,72.01562330494683,72.0,72.02777242147643
sha,129.57816174031797,44.10215414239989,45.0111097397076,45.13590588434002
ka,143.0034964607509,46.00271731104588,46.51075144523038,47.02393007820593
na,134.02331886653158,49.02295380737476,49.51009997970111,49.063734060913056
tha,138.5,43.0,44.01136216933077,44.52527372178637
pa,121.67374408638867,29.53811097548386,30.516389039334257,30.602287496198713
fa,118.05189536809648,30.516389039334257,31.51586901863885,32.50384592629001
ta,150.00083333101853,46.010868281309364,46.502688094345686,48.56439024635232
la,137.60995603516483,58.137767414994535,58.077534382926416,58.26019224135808
wa,118.01694793545543,36.513696060519536,38.0,37.013511046643494
cha,147.03060905811415,54.00925846556311,55.0,56.055775795184566
ra,121.56582578998096,54.5,55.036351623268054,55.502252206554644
ja,133.01503674397117,47.510525149697095,48.010415536631214,49.02295380737476
